Barrin,1.0,2,0
Mishra,0.2857142857142857,4,10
Maraxus,0.5454545454545454,6,5
Sisay,0.6428571428571429,9,5
Lyna,0.5,1,1
Crovax,0.6923076923076923,9,4
Gerrard,0.0,0,4
Squee,0.5294117647058824,9,8
Ertai,0.5,4,4
Tawnos,0.4666666666666667,7,8
Mirri,0.375,6,10
Volrath,0.375,3,5
Serra,0.6,6,4
Hanna,0.47058823529411764,8,9
Selenia,0.5,3,3
Starke,0.16666666666666666,1,5
Oracle,0.75,3,1
Rofellos,0.5,1,1
Titania,0.8333333333333334,5,1
Eladamri,0.25,1,3
Takara,1.0,4,0
Ashnod,0.5,1,1
Tahngarth,0.25,1,3
Karn,1.0,4,0
Greven il-Vec,0.0,0,4
Xantcha,0.6666666666666666,6,3
Gix,1.0,2,0
Urza,0.5,1,1
Dakkon Blackblade,0.0,0,2
Arcbound Overseer,0.0,0,2
