Banjo-Kazooie,2.3664319132398464
Bayonetta,2.327373340628157
Bowser,1.8708286933869707
Bowser Jr.,1.816590212458495
Byleth,2.0304983595265145
Captain Falcon,2.4994623077688107
Cloud,2.4235565546581275
Corrin,2.1805682857412396
Diddy Kong,2.2962419891481978
Donkey Kong,2.1514492783133536
Dr. Mario,2.32992949004287
Duck Hunt,2.0655911179772892
Falco,2.179449471770337
Fox,2.3159525823376357
Ganondorf,2.160905410961329
Greninja,2.23606797749979
Hero,1.949358868961793
Ice-Climbers,1.7888543819998317
Ike,2.23606797749979
Incineroar,1.7677669529663689
Inkling,2.6076809620810595
Isabelle,2.7100635498903793
Jigglypuff,2.5495097567963922
Joker,2.7284509239574835
Kazuya,2.073644135332772
Ken,2.124888588879783
King Dedede,2.3694389634605373
King K Rool,2.139232523470435
Kirby,2.2086889501029514
Link,2.6394443859772205
Little Mac,2.088327347690278
Lucario,2.223326745708291
Lucas,2.250925735484551
Luigi,2.0655911179772892
Mario,2.296704987840099
Marth,2.8702082220799308
Mega Man,2.164651077128664
Meta Knight,2.041241452319315
Mewtwo,1.3038404810405297
Mii Brawler
Mii Gunner,2.0
Mii Swordfighter,3.24037034920393
Min Min,0.816496580927726
Mr. Game & Watch,1.7182493859684491
Ness,2.2690924370339958
Olimar,1.7043362064926935
Pac Man,1.889822365046136
Palutena,2.3380903889000244
Pichu,2.522624895547565
Pikachu,2.087557121815378
Piranha Plant,2.052872551885702
Pit,2.4209731743889917
Pokemon Trainer,1.9944979263017493
Princess Peach,1.941450686788302
Pyra/Mythra,2.390457218668787
Ridley,2.48327740429189
R.O.B.,2.0586634591635513
Robin,2.0
Rosalina,2.445841952609133
Roy,2.309401076758503
Ryu,1.96638416050035
Samus,2.2045689482796607
Sephiroth,2.16794833886788
Sheik,1.9407902170679516
Shulk,2.0
Simon,2.1499353995462798
Snake,2.6687491868330793
Sonic,2.788866755113585
Sora,2.217355782608345
Steve,1.8618986725025255
Terry,2.131509637166422
Toon Link,2.4899799195977463
Villager,2.6214406763289904
Wario,2.449489742783178
Wii Fit Trainer,1.632993161855452
Wolf,2.7945525240230875
Yoshi,2.373155732746617
Young Link,2.7748873851023217
Zelda,2.587644958789466
Zero Suit Samus,2.16794833886788
Old_Marth,2.714160398109638
Old_Princess_Peach,1.636391694484477
Old_Roy,1.632993161855452
Old_Simon,2.3874672772626644
