simon,206.0
jacob,83.0
travis,26.0
noah,460.0
kevin s,176.0
luca,0.0
eric k,611.0
david o,98.0
sonny,0.0
chris a,179.0
marco,225.0
stephen,125.0
tony,140.0
mike,145.0
thana,333.0
nick d,218.0
walski,323.0
alberto,31.0
frank,33.0
andrew d,13.0
matt y,104.0
john k,9.0
adam,120.0
zane,42.0
collin,274.0
luis,296.0
juwan,32.0
todd,2.0
clayton,741.0
luke,142.0
evan s,0.0
alan,29.0
aaron,223.0
